Feature ID,State,State Abbreviation,State FIPS Code,County,Locale,POINT_X,POINT_Y,Distance to Nearest School (meters),NCES School ID of Nearest School,Name of Nearest School,Name of School District,LEAID of School District,Electric Utility,Census Tract ID,Total population,Percent people of color,Percent low-income households,PM2.5 (μg/m3),Ozone concentration (ppb),PM2.5 percentile,Ozone percentile
3843,Maryland,MD,24,Baltimore County,Suburban,-76.68767354,39.22827959,,,,Baltimore County Public Schools,2400120,BALTIMORE GAS & ELECTRIC CO,24005980200,0,0%,0%,8.2,70,48,93
3844,Maryland,MD,24,Howard County,Suburban,-76.88141696,39.18666167,186,240042000719,Atholton High,Howard County Public Schools,2400420,BALTIMORE GAS & ELECTRIC CO,24027605602,8374,51%,12%,7.9,67.6,41,87
3845,Maryland,MD,24,Howard County,Suburban,-76.80228168,39.18441652,,,,Howard County Public Schools,2400420,BALTIMORE GAS & ELECTRIC CO,24027606708,6527,62%,24%,7.9,68.3,43,89
3846,Maryland,MD,24,Howard County,Suburban,-76.76934887,39.18201103,,,,Howard County Public Schools,2400420,BALTIMORE GAS & ELECTRIC CO,24027601203,8569,84%,17%,8,68.9,45,91
3847,Maryland,MD,24,Howard County,Suburban,-76.82749196,39.17470936,,,,Howard County Public Schools,2400420,BALTIMORE GAS & ELECTRIC CO,24027606708,6527,62%,24%,7.9,68.3,43,89
3848,Maryland,MD,24,Howard County,Suburban,-76.76976188,39.16724354,,,,Howard County Public Schools,2400420,BALTIMORE GAS & ELECTRIC CO,24027601203,8569,84%,17%,8,68.9,45,91
3849,Maryland,MD,24,Baltimore city,Urban,-76.65903045,39.28618881,,,,Baltimore City Public Schools,2400090,BALTIMORE GAS & ELECTRIC CO,24510200400,1176,93%,58%,8.2,69.8,50,93
3850,Maryland,MD,24,Baltimore city,Urban,-76.65837577,39.25858048,,,,Baltimore City Public Schools,2400090,BALTIMORE GAS & ELECTRIC CO,24510250206,2253,32%,35%,8.2,69.9,50,93
3851,Maryland,MD,24,Anne Arundel County,Suburban,-76.58149259,39.1461498,,,,Anne Arundel County Public Schools,2400060,BALTIMORE GAS & ELECTRIC CO,24003730204,6529,57%,13%,8,71.6,44,96
3852,Maryland,MD,24,Anne Arundel County,Suburban,-76.50271939,39.11426425,,,,Anne Arundel County Public Schools,2400060,BALTIMORE GAS & ELECTRIC CO,24003731205,5146,11%,12%,7.7,72.1,37,96
3853,Maryland,MD,24,Anne Arundel County,Suburban,-76.60862266,39.17851972,,,,Anne Arundel County Public Schools,2400060,BALTIMORE GAS & ELECTRIC CO,24003751000,4003,38%,30%,8.1,71.3,46,95
3854,Maryland,MD,24,Anne Arundel County,Suburban,-76.60681731,39.18775653,,,,Anne Arundel County Public Schools,2400060,BALTIMORE GAS & ELECTRIC CO,24003751102,4384,46%,18%,8.1,71.6,47,96
3855,Maryland,MD,24,Anne Arundel County,Suburban,-76.62631092,39.21941045,,,,Anne Arundel County Public Schools,2400060,BALTIMORE GAS & ELECTRIC CO,24003750201,3500,62%,27%,8.1,70.9,48,95
3856,Maryland,MD,24,Anne Arundel County,Suburban,-76.63716533,39.17884717,,,,Anne Arundel County Public Schools,2400060,BALTIMORE GAS & ELECTRIC CO,24003750801,6370,28%,18%,8.1,70.9,47,95
3857,Maryland,MD,24,Anne Arundel County,Suburban,-76.55900308,39.12203319,,,,Anne Arundel County Public Schools,2400060,BALTIMORE GAS & ELECTRIC CO,24003731209,5024,43%,7%,7.9,71.6,41,96
3858,Maryland,MD,24,Baltimore County,Suburban,-76.51553503,39.28406774,,,,Baltimore County Public Schools,2400120,BALTIMORE GAS & ELECTRIC CO,24005420600,4720,54%,32%,8.1,72.6,47,96
3859,Maryland,MD,24,Baltimore County,Suburban,-76.46188548,39.26304055,,,,Baltimore County Public Schools,2400120,BALTIMORE GAS & ELECTRIC CO,24005452400,3540,14%,25%,8,73.6,45,97
3860,Maryland,MD,24,Baltimore city,Urban,-76.5341844,39.2616741,,,,Baltimore City Public Schools,2400090,BALTIMORE GAS & ELECTRIC CO,24510260605,5842,52%,57%,8.2,72.2,49,96
3861,Maryland,MD,24,Baltimore city,Urban,-76.63221337,39.25247272,337,240009000148,Arundel Elementary,Baltimore City Public Schools,2400090,BALTIMORE GAS & ELECTRIC CO,24510250207,2095,98%,55%,8.2,70.8,50,95
3862,Maryland,MD,24,Queen Anne's County,Suburban,-76.07196699,39.0385989,,,,Queen Annes County Public Schools,2400540,"CHOPTANK ELECTRIC COOPERATIVE, INC",24035810500,4768,14%,14%,7,65,20,75
3863,Maryland,MD,24,Queen Anne's County,Suburban,-76.0471203,39.03287181,308,240054001190,Centreville Middle School,Queen Annes County Public Schools,2400540,"CHOPTANK ELECTRIC COOPERATIVE, INC",24035810400,6191,12%,8%,7,68,20,88
3864,Maryland,MD,24,Allegany County,Urban,-78.77073519,39.62980793,,,,Allegany County Public Schools,2400030,THE POTOMAC EDISON COMPANY,24001000800,1865,10%,61%,6.9,54.8,18,8
